batch_id, latency
260,14
261,14
262,14
263,14
264,14
265,14
266,14
267,14
268,14
269,37
270,37
271,36
272,37
273,37
274,37
275,36
276,37
277,35
278,35
279,35
280,37
281,36
282,37
283,34
284,112
285,15
286,15
287,14
288,14
289,14
290,14
291,14
292,14
293,14
294,14
295,14
296,14
297,14
298,14
299,14
300,14
301,38
302,38
303,37
304,37
305,37
306,38
307,37
308,37
309,35
310,36
311,35
312,35
313,35
314,34
315,36
316,112
317,15
318,14
319,14
320,14
321,14
322,14
323,14
324,14
325,14
326,14
327,14
328,14
329,14
330,14
331,14
332,14
333,38
334,37
335,36
336,38
337,36
338,38
339,35
340,37
341,35
342,36
343,35
344,36
345,35
346,34
347,34
348,113
349,15
350,15
351,14
352,14
353,14
354,14
355,13
356,14
357,14
358,14
359,14
360,14
361,14
362,14
363,14
364,14
365,38
366,38
367,37
368,37
369,37
370,36
371,36
372,36
373,35
374,36
375,35
376,35
377,35
378,34
379,35
380,113
381,14
382,15
383,14
384,14
385,14
386,15
387,15
388,15
389,15
390,15
391,16
392,15
393,14
394,15
395,15
396,15
397,39
398,38
399,37
400,37
401,36
402,37
403,35
404,36
405,35
406,36
407,35
408,34
409,34
410,35
411,35
412,113
413,15
414,14
415,14
416,14
417,14
418,14
419,13
420,14
421,14
422,14
423,14
424,14
425,14
426,14
427,14
428,14
429,39
430,37
431,37
432,37
433,36
434,36
435,36
436,39
437,35
438,34
439,35
440,35
441,35
442,34
443,35
444,112
445,15
446,15
447,14
448,14
449,14
450,14
451,14
452,14
453,13
454,14
455,14
456,14
457,14
458,14
459,14
460,14
461,38
462,38
463,36
464,36
465,36
466,36
467,37
468,38
469,36
470,35
471,35
472,35
473,35
474,35
475,35
476,112
477,15
478,14
479,14
480,14
481,14
482,14
483,14
484,14
485,14
486,14
487,14
488,14
489,14
490,14
491,14
492,14
493,39
494,37
495,36
496,36
497,36
498,36
499,35
500,36
501,35
502,35
503,34
504,34
505,35
506,35
507,35
508,113
509,15
510,14
511,14
512,14
513,14
514,14
515,14
516,14
517,14
518,15
519,14
520,14
521,14
522,14
523,14
524,14
525,37
526,37
527,36
528,37
529,37
530,36
531,37
532,35
533,36
534,36
535,37
536,36
537,36
538,37
539,36
540,114
541,15
542,14
543,14
544,14
545,14
546,14
547,14
548,14
549,14
550,14
551,14
552,14
553,14
554,15
555,14
556,14
557,38
558,38
559,37
560,37
561,38
562,37
563,37
564,37
565,36
566,35
567,37
568,36
569,36
570,36
571,36
572,112
573,22
574,20
575,19
576,19
577,20
578,20
579,20
580,20
581,20
582,19
583,20
584,20
585,20
586,19
587,18
588,16
589,38
590,39
591,38
592,38
593,38
594,37
595,38
596,35
597,36
598,36
599,36
600,37
601,36
602,36
603,37
604,114
605,26
606,26
607,23
608,23
609,23
610,23
611,22
612,23
613,22
614,22
615,22
616,21
617,22
618,21
619,20
620,19
621,37
622,38
623,38
624,37
625,38
626,37
627,36
628,35
629,36
630,36
631,36
632,36
633,36
634,37
635,35
636,114
637,26
638,25
639,23
640,22
641,23
642,23
643,23
644,23
645,22
646,22
647,22
648,21
649,21
650,20
651,19
652,18
653,38
654,39
655,38
656,38
657,38
658,36
659,37
660,37
661,35
662,36
663,37
664,37
665,35
666,37
667,36
668,114
669,26
670,25
671,23
672,24
673,23
674,23
675,23
676,23
677,23
678,23
679,23
680,23
681,21
682,22
683,20
684,19
685,39
686,38
687,39
688,38
689,37
690,36
691,36
692,37
693,36
694,36
695,35
696,36
697,35
698,36
699,36
700,113
701,25
702,25
703,23
704,23
705,23
706,23
707,23
708,23
709,23
710,22
711,22
712,22
713,20
714,19
715,19
716,18
717,39
718,38
719,38
720,37
721,36
722,36
723,36
724,36
725,35
726,37
727,35
728,36
729,35
730,36
731,35
732,113
733,26
734,25
735,23
736,22
737,23
738,23
739,23
740,22
741,23
742,22
743,22
744,22
745,20
746,19
747,19
748,18
749,38
750,38
751,36
752,37
753,37
754,35
755,35
756,36
757,36
758,37
759,35
760,36
761,35
762,37
763,35
764,113
765,24
766,23
767,22
768,22
769,22
770,22
771,22
772,22
773,22
774,22
775,21
776,21
777,20
778,20
779,18
780,17
781,38
782,37
783,37
784,38
785,37
786,37
787,37
788,38
789,35
790,36
791,35
792,35
793,35
794,35
795,34
796,111
797,25
798,25
799,23
800,23
801,22
802,22
803,23
804,24
805,23
806,22
807,22
808,21
809,20
810,20
811,20
812,19
813,38
814,37
815,36
816,38
817,36
818,37
819,37
820,37
821,34
822,36
823,35
824,36
825,36
826,36
827,36
828,112
829,25
830,25
831,23
832,23
833,23
834,24
835,23
836,23
837,23
838,21
839,22
840,22
841,20
842,20
843,20
844,19
845,38
846,38
847,37
848,38
849,36
850,36
851,36
852,36
853,34
854,36
855,35
856,36
857,34
858,36
859,36
860,111
861,24
862,24
863,23
864,24
865,22
866,22
867,22
868,21
869,21
870,21
871,20
872,20
873,19
874,19
875,18
876,17
877,38
878,37
879,38
880,38
881,38
882,40
883,36
884,36
885,36
886,34
887,36
888,34
889,36
890,36
891,35
892,111
893,27
894,27
895,27
896,26
897,25
898,25
899,26
900,26
901,26
902,25
903,25
904,24
905,23
906,23
907,21
