version,name,part,key_size,elements,wall_time,cpu_cycles,k_cycles,instructions,cache_references,cache_misses,branch_misses,ipc,GHZ,CPUs,maxrss_mb,scale
baseline,Transfer.ledger,swap,16,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.56,17.22,0.15,34731,262048
baseline,Transfer.code,swap,16,262048,0.01,128.60,0.55,382.46,8.48,0.17,2.81,2.97,5.29,1.12,34731,262048
baseline,Transfer,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.53,16.27,0.16,34731,262048
baseline,AccountEvent,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.58,15.81,0.16,34731,262048
baseline,AccountEvent.transfer_pending_status,swap,16,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.64,17.11,0.17,34731,262048
baseline,AccountEvent.prunable,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.65,16.83,0.17,34731,262048
baseline,Account,absorb,8,257489,0.01,310.63,1.15,705.42,117.00,3.56,1.16,2.27,5.37,1.01,34731,257489
baseline,Transfer.id,swap,16,262048,0.00,0.07,0.05,0.09,0.00,0.00,-nan,1.32,16.92,0.07,34731,262048
baseline,Transfer.debit_account_id,swap,32,262048,0.01,120.15,0.45,441.90,18.50,0.55,1.95,3.68,5.29,1.00,34731,262048
baseline,Transfer.credit_account_id,swap,32,262048,0.01,117.08,0.45,442.84,16.98,0.55,1.91,3.78,5.28,1.00,34731,262048
baseline,Transfer.amount,swap,32,262048,0.01,132.39,0.42,438.09,18.86,0.52,2.44,3.31,5.27,1.00,34731,262048
baseline,Transfer.user_data_128,swap,32,262048,0.01,148.82,0.52,434.49,18.99,0.51,2.83,2.92,5.26,1.00,34731,262048
baseline,Transfer.user_data_64,swap,16,262048,0.01,131.51,0.50,382.13,8.62,0.19,2.86,2.91,5.26,1.00,34731,262048
baseline,Transfer.user_data_32,swap,16,262048,0.01,131.42,0.43,384.34,8.24,0.20,2.92,2.92,5.28,1.00,34731,262048
baseline,Transfer.ledger,swap,16,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.57,16.89,0.15,34731,262048
baseline,Transfer.code,swap,16,262048,0.01,127.87,0.44,384.10,8.65,0.19,2.75,3.00,5.29,1.00,34731,262048
baseline,Transfer,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.56,16.88,0.07,34731,262048
baseline,AccountEvent,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.58,15.58,0.08,34731,262048
baseline,AccountEvent.transfer_pending_status,swap,16,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.65,16.88,0.07,34731,262048
baseline,AccountEvent.prunable,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.65,17.28,0.07,34731,262048
baseline,Account,absorb,8,257765,0.02,312.48,1.20,702.96,117.32,3.26,1.15,2.25,5.36,1.01,34731,257765
baseline,Transfer.id,swap,16,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.44,17.72,0.14,34731,262048
baseline,Transfer.debit_account_id,swap,32,262048,0.01,120.85,0.42,441.26,18.69,0.55,1.93,3.65,5.29,1.00,34731,262048
baseline,Transfer.credit_account_id,swap,32,262048,0.01,117.52,0.48,443.16,16.73,0.62,1.90,3.77,5.28,1.00,34731,262048
baseline,Transfer.amount,swap,32,262048,0.01,132.79,0.55,439.42,19.24,0.59,2.43,3.31,5.27,1.00,34731,262048
baseline,Transfer.user_data_128,swap,32,262048,0.01,148.54,0.47,434.48,18.87,0.59,2.86,2.92,5.26,1.00,34731,262048
baseline,Transfer.user_data_64,swap,16,262048,0.01,130.99,0.50,382.32,8.51,0.19,2.80,2.92,5.26,1.00,34731,262048
baseline,Transfer.user_data_32,swap,16,262048,0.01,130.55,0.40,383.16,8.25,0.18,2.92,2.93,5.27,1.00,34731,262048
baseline,Transfer.ledger,swap,16,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.54,17.03,0.15,34731,262048
baseline,Transfer.code,swap,16,262048,0.01,127.69,0.48,385.30,8.62,0.21,2.68,3.02,5.28,1.00,34731,262048
baseline,Transfer,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.51,15.97,0.08,34731,262048
baseline,AccountEvent,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.53,14.69,0.09,34731,262048
baseline,AccountEvent.transfer_pending_status,swap,16,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.63,16.44,0.08,34731,262048
baseline,AccountEvent.prunable,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.66,16.97,0.07,34731,262048
baseline,Account,absorb,8,257980,0.02,326.61,1.32,729.37,115.85,3.40,1.20,2.23,5.35,1.01,34731,257980
baseline,Transfer.id,swap,16,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.43,17.39,0.06,34731,262048
