batch_id,latency
629,105
630,105
631,104
632,101
633,109
634,108
635,107
636,137
637,47
638,47
639,35
640,36
641,36
642,35
643,36
644,36
645,35
646,34
647,35
648,33
649,34
650,34
651,33
652,34
653,126
654,121
655,121
656,118
657,119
658,106
659,106
660,107
661,106
662,96
663,103
664,101
665,107
666,100
667,105
668,142
669,44
670,47
671,36
672,33
673,35
674,34
675,36
676,38
677,35
678,37
679,36
680,35
681,36
682,37
683,34
684,36
685,126
686,121
687,124
688,120
689,116
690,110
691,102
692,109
693,105
694,98
695,102
696,98
697,105
698,108
699,105
700,131
701,46
702,46
703,37
704,35
705,35
706,33
707,36
708,39
709,35
710,35
711,35
712,36
713,33
714,33
715,34
716,35
717,125
718,125
719,124
720,112
721,112
722,108
723,108
724,112
725,112
726,104
727,107
728,107
729,107
730,106
731,101
732,137
733,47
734,47
735,35
736,35
737,33
738,36
739,36
740,37
741,35
742,35
743,35
744,35
745,35
746,34
747,33
748,34
749,130
750,115
751,108
752,109
753,114
754,104
755,107
756,104
757,106
758,100
759,104
760,103
761,106
762,107
763,104
764,135
765,39
766,45
767,35
768,36
769,35
770,35
771,33
772,36
773,34
774,35
775,35
776,34
777,25
778,26
779,25
780,25
781,124
782,115
783,113
784,112
785,116
786,110
787,108
788,110
789,116
790,101
791,99
792,99
793,108
794,106
795,109
796,139
797,48
798,46
799,36
800,35
801,35
802,33
803,36
804,36
805,35
806,35
807,35
808,34
809,35
810,34
811,34
812,35
813,118
814,114
815,112
816,110
817,113
818,110
819,107
820,117
821,108
822,108
823,103
824,105
825,107
826,103
827,105
828,134
829,48
830,48
831,34
832,34
833,36
834,38
835,35
836,36
837,36
838,37
839,36
840,36
841,36
842,37
843,34
844,36
845,116
846,108
847,111
848,112
849,118
850,110
851,105
852,101
853,106
854,104
855,106
856,104
857,101
858,101
859,104
860,137
861,37
862,37
863,35
864,33
865,35
866,36
867,35
868,33
869,30
870,32
871,30
872,29
873,31
874,31
875,31
876,29
877,130
878,132
879,124
880,124
881,123
882,122
883,118
884,125
885,115
886,98
887,100
888,106
889,99
890,109
891,104
892,138
893,50
894,49
895,51
896,45
897,49
898,46
899,47
900,47
901,50
902,45
903,47
904,46
905,44
906,44
907,46
908,45
909,129
910,122
911,122
912,121
913,120
914,117
915,114
916,102
917,110
918,101
919,104
920,104
921,99
922,104
923,104
924,135
925,49
926,49
927,48
928,48
929,47
930,45
931,47
932,45
933,47
934,45
935,48
936,40
937,43
938,46
939,45
940,44
941,127
942,122
943,122
944,116
945,124
946,109
947,105
948,106
949,112
950,99
951,102
952,99
953,107
954,101
955,106
956,135
957,48
958,44
959,34
960,35
961,33
962,34
963,35
964,36
965,35
966,34
967,34
968,35
969,33
970,32
971,33
972,34
973,148
974,134
975,126
976,127
977,117
978,114
979,105
980,105
981,109
982,106
983,99
984,101
985,103
986,104
987,103
2025-05-2904,t=959free_set.acquired=30331free_set.released=20312)
=16378
=8082543
=991
=1
2025-05-2904,t=959)
